Date,Reference,Description,Amount,Balance
2026-02-01,INV-1001,Invoice - Office Supplies,450.00,450.00
2026-02-03,INV-1002,Invoice - Packaging Materials,1280.50,1730.50
2026-02-05,INV-1003,Invoice - Raw Materials Batch 12,3200.00,4930.50
2026-02-06,PMT-2001,Payment Received - Thank You,-1500.00,3430.50
2026-02-08,INV-1004,Invoice - Raw Materials Batch 13,2750.00,6180.50
2026-02-10,INV-1005,Invoice - Freight Charges,320.75,6501.25
2026-02-11,CN-3001,Credit Note - Damaged Goods Batch 12,-180.00,6321.25
2026-02-13,INV-1006,Invoice - Office Supplies,210.00,6531.25
2026-02-15,INV-1007,Invoice - Raw Materials Batch 14,4100.00,10631.25
2026-02-16,PMT-2002,Payment Received - Thank You,-2000.00,8631.25
2026-02-20,,Late Fee Charge - February Statement,45.00,8676.25
2026-02-22,INV-1009,Invoice - Raw Materials Batch 15,1975.60,10651.85
2026-02-27,INV-1010,Invoice - Packaging Materials,890.00,11541.85
2026-02-28,PMT-2003,Payment Received - Thank You,-3000.00,8541.85
